Distance,Heuristic,t1,t2,t3,t_avg,path_distance,iterations
1,1,14.58,13.96,14.09,14.21,958815.013,2307242
2,2,10.89,10.92,10.85,10.89,958815.036,2307243
3,3,13.14,13.46,13.56,13.39,958815.013,2302274
4,4,14.86,15.02,14.93,14.94,959888.752,2307243
5,5,11.31,11.25,11.44,11.33,959888.775,2307244
6,6,14.09,13.99,14.02,14.03,959888.752,2302274
4,1,14.77,14.72,14.67,14.72,959888.752,2319882
5,2,11.28,11.42,11.65,11.45,959888.775,2319882
6,3,13.93,13.74,13.97,13.88,959888.752,2315176
1,7,57.33,59.66,59.22,58.74,958815.013,11905449
2,7,45.96,48.11,50.02,48.03,958815.036,11893494
3,7,46.34,46.5,46.58,46.47,958815.013,11905449
4,7,59.93,62.14,61.03,61.03,959888.752,11905449
5,7,47.05,49.98,51.13,49.39,959888.775,11893494
6,7,49.15,50.9,50.74,50.26,959888.752,11905449
8,7,332.04,380.75,366.4,359.73,2995,9248953
